mean,std.dev,class,replicate,group
24.3,0.24,mean,Apocynaceae,fleshy
20.45,0.21,mean,Apocynaceae,dry
15.07,0.38,mean,Ericaceae,fleshy
11.01,0.45,mean,Ericaceae,dry
21,0.14,mean,Melastomataceae,fleshy
19.97,0.2,mean,Melastomataceae,dry
12.07,0.24,mean,Rosaceae,fleshy
9.93,0.36,mean,Rosaceae,dry
18.6,0.21,mean,Solanaceae,fleshy
17.28,0.44,mean,Solanaceae,dry
24.32,0.08,optimum,Apocynaceae,fleshy
21.33,0.32,optimum,Apocynaceae,dry
15.27,0.01,optimum,Ericaceae,fleshy
11.24,0.01,optimum,Ericaceae,dry
22.96,0.04,optimum,Melastomataceae,fleshy
20.71,0.11,optimum,Melastomataceae,dry
12.42,0.29,optimum,Rosaceae,fleshy
8.37,1.74,optimum,Rosaceae,dry
17.89,0.19,optimum,Solanaceae,fleshy
15.21,3.21,optimum,Solanaceae,dry